Number,Review,Sentiment
1,i was a person that saw all the hype and claims of masterpiece as overreacting and overblown excitement for another joker based film i thought this looked solid at best and even a bit too pretentious in the trailer but in here to say i was incredibly wrong this is a massive achievement of cinema thats extremely rare in a day and age of cgi nonsense and reboots while this is somewhat of a reboot of sorts the standalone origin tale is impeccable from start to finish and echoes resemblance to the best joker origin comics from the past joaquin bleeds sweats and cries his every drop into this magnificently dedicated performance heath ledger would be proud this is undoubtedly the greatest acting performance since heaths joker the directing and writing is slickly brilliant and the bleak settings and tones are palpable throughout when this film was over the place was blown away and every audience member was awestruck that they witnessed a film that could still transport them into a characters world and very existence believe the hype this is going to be revered as a transcending masterpiece of cinema every once in a while a movie comes that truly makes an impact joaquins performance and scenography in all its brilliance grotesque haunting and cringy hard to watch at times but so mesmerizing you wont blink an eye watching it tragic but with seriously funny moments emotional rollercoaster  sometimes with multiple emotions poppingup at the same timethis is far from a typical actionriddled predictable superhero movie  its a proper psychological thrillerdrama with the single best character development i have ever seen this is a movie that only those who have felt alone and isolated can truly relate to it you understand the motive and you feel sorry for the character a lot of people will see this movie and think that it encourages violence but truly this movie should encourage each and every one of us to become a better person treat everyone with respect and make each other feel like they belong in this world instead of making them feel isolated truly a masterpiece the best hollywood film of  one of the best films of the decade and truly the best film to bring a comic book so chillingly and realistically to real ife,Positive
2,remarkable direction cinematography music and the acting,Positive
3,some people are surprised to find it disturbing and violent but its a necessity and message,Neutral
4,its about society and reflects those underappreciatedunrecognizedbullied people proving they can do something too,Neutral
5,the way it shows class difference corruption and how rich and talented rule others around them is not exaggerated and thats what makes it different,Positive
6,its believable,Positive
7,there could be multiple jokers living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people,Positive
8,consider this a wake up call a message but first a film a perfect film most of the time movies are anticipated like this they end up falling short way short joker is the first time i was more than happy with the hype please ignore the complaints of pernicious violence as they are embarrassing to say the least we havent seen a comic movie this real before if we ever deserved a better class of criminal  phillips and phoenix have delivered this is dark joker is dark and you will fall in love with the villain as you should the bad guys are always more romantic anyway joaquin phoenix gives a tour de force performance fearless and stunning in its emotional depth and physicality its impossible to talk about this without referencing heath ledgers oscarwinning performance from the dark knight widely considered the definitive liveaction portrayal of the joker so lets talk about it the fact is everyone is going to be stunned by what phoenix accomplishes because its what many thought impossible  a portrayal that matches and potentially exceeds that of the dark knights clown prince of crime let me start off by saying if joaquin phoneix doesnt get his oscar for this movie then the oscars should be cancelled phoneix is amazing as you mightve heard from every review ever but todd phillips is at his best here the story lines he takes and visuals are just breathtaking the score omg the score every time that score came on i felt very uncomfortable like something horrible was about to happen it was great the inspirations from taxi driver and king of comedy are there and add so much for the movie and i got to be honest there are scenes that are very violent and its disturbing but i honestly expected it to be wayyyy more violent from all the controversy going on overall this movie was great come oscar season it needs to be nominated for best picture screenplay cinematography actor score and director i get why some people hate this  its because of the political message and how some people think that you need get empathy for arthurs madness but come on that is not the point and it will never be enjoy this masterpiece because joaquin phoenix and todd phillips overdid themselves with this movie  the actingmusic and cinematography are just amazing  please enjoy the movie without overthinking it i have seen joker yesterday at venice an early illfated screening we had some trouble with audio that lead to a nearhour delay but it definitely was worth itjoker deserved to be presented at venice film festival an event that regards cinema as a form of art because this film is far from a blockbuster or a mere entertainer movie as most films in the genre areit focuses on the psyche of the main character as it slowly crumbles under the pressure of society and thus joaquin phoenix does a wonderful performance earning almost surely a nomination at the oscars at least,Positive
9,its a take on the joker that differs from ledgers but id say that both are equally as good the main difference might be that ledgers joker is a rational that acts insane while phoenixs is insane to the rootdespite being a movie about a superhero villain joker is much superior to most of the movies of the genre id exclude the dark knight trilogy only but joker is easily as good as nolans movies or at least very close it is a smallscaled film with a distinct style and cinematography that cannot but be appreciated and a set of very cinephile references that however do not feel too forced or overly opressive most notable are the similarities to scorseses taxi driver and his the king of comedy but also chaplins modern times is somewhat referencedi am eager to see more noncomedic efforts by todd phillips this movie was so far probably the best of  at worst contested so far only by dolor y gloria or once upon a time in hollywood and that should be very convincing its sad that joaquin missed oscar for the gladiator as he was very compelling villain but i am quite confident he will win it for the joker damn what a movie  keeps u on the toes all the time unpredictable storyline and really a deep interesting plot did i forget to mention acting  damn do niro and joaquin teach u what really is  star acting,positive
10,to enjoy this movie get a wine in your hand close the curtains turn of ur cellphones and put do not disturb sign on ur door best dark thriller suspense movie you will get to experience i have just watched the joker in venice and i will say if joaquin doesnt get an oscar this year then something is wrong with this world this perfomance is just jawdropping it glues you to the screen and doesnt let go till the end story is very good and has some interesting connections with batman loreespecially one you cant guess from trailers there are some scenes that are so tense wellacted and imaginative that push this movie to  cinematography and direction are great todd has proven himself as a director robert is also good in his small role will definitely see it again as soon as it out in october this movie causes the audience to consider many topics on morality particularly the poor choices made by the joker the joker is more relatable in this movie than antagonists usually are i think this gives a more realistic view of bad people who are not usually  bad in all ways as society often judges it is important to know when to sympathize with the joker towards the beginning of the movie and when he needs to be identified as a threat when he begins making certain bad choices this movie is only suitable for adults who are willing to pick it apart and think critically about it it isnt for light amusement that substance is what makes it so goodif you arent able to ponder underlying themes on your own and you have to be handed all your thoughts to you then this isnt the best movie for you the acting cinematography sound design and the script itself is phenomenal this movie is a triumph joaquin pheonix deserves an oscar win for this tbh i will stop watching movies if joaquin phoenix is not awarded oscar for his tremendous acting i quit relying on critic reviews years ago i noticed for this movie that the critics ratings were low but viewer ratings were high that being said what is the point of a critic when for this movie they are oh so wrong,positive
